类别,编号,资源Key,中文名,英文名,难度,LV,建议尺寸,主题描述
伐木,1,wood_0,废木板,Scrap Wood,极简单,1,32x32,废墟中随处可见的木板碎片
伐木,2,wood_1,枯树枝,Dead Branch,简单,4,32x32,核冬天后枯死的树枝
伐木,3,wood_2,焦木,Charred Wood,简单,7,32x32,被大火烧过的碳化树干
伐木,4,wood_3,铁线木,Ironbark Wood,中等,10,32x32,树皮硬如铁丝的变异树种
伐木,5,wood_4,石化木,Petrified Wood,中等,15,32x32,在辐射中石化的古树化石
伐木,6,wood_5,辐射瘤木,Rad-Tumor Wood,较难,25,32x32,树干上长满放射性瘤状物的变异树
伐木,7,wood_6,骨白杉,Bonewood Pine,困难,40,32x32,被辐射漂白的白骨色杉木
伐木,8,wood_7,黑钢木,Blacksteel Wood,困难,60,32x32,吸收重金属呈现黑色金属光泽的突变树
伐木,9,wood_8,泰坦木,Titanwood,极难,80,32x32,高达数十米的巨树,斧头砍一天才能砍倒
伐木,10,wood_9,核融晶木,Fusion Crystallite,噩梦,99,32x32,在核爆中心结晶化的树木,比钢还硬

采矿,1,ore_0,废铁块,Scrap Iron,极简单,1,32x32,废墟中锈蚀的废铁块
采矿,2,ore_1,铜丝矿,Copper Wire Ore,简单,4,32x32,从废弃电线中剥离的铜丝团
采矿,3,ore_2,铝罐矿,Aluminum Ore,简单,7,32x32,压扁的易拉罐和铝制废料
采矿,4,ore_3,铅块,Lead Ore,中等,10,32x32,废车电池和旧水管中的铅块
采矿,5,ore_4,硫磺矿,Sulfur Ore,中等,15,32x32,火山灰沉积形成的硫磺结晶
采矿,6,ore_5,硝酸盐矿,Nitrate Ore,较难,25,32x32,废弃化肥厂的硝酸盐沉积矿
采矿,7,ore_6,铀矿石,Uranium Ore,困难,40,32x32,散发绿色荧光的放射性铀矿石
采矿,8,ore_7,钛金矿,Titanium Ore,困难,60,32x32,军工厂废墟中的轻质高强度钛矿
采矿,9,ore_8,钨钢矿,Tungsten Ore,极难,80,32x32,熔点在废土中几乎无法冶炼的超硬矿石
采矿,10,ore_9,铱金矿,Iridium Ore,噩梦,99,32x32,陨石撞击坑中发现的稀有贵金属矿石

冶炼,1,bar_0,废铁锭,Scrap Iron Bar,极简单,1,32x32,熔炼废铁块得到的粗糙铁锭
冶炼,2,bar_1,铜锭,Copper Bar,简单,4,32x32,铜丝矿熔炼成的铜色金属锭
冶炼,3,bar_2,铝锭,Aluminum Bar,简单,7,32x32,铝罐熔炼成的轻质银色金属锭
冶炼,4,bar_3,铅锭,Lead Bar,中等,10,32x32,铅块熔炼成的高密度灰色金属锭
冶炼,5,bar_4,硫磺锭,Sulfur Bar,中等,15,32x32,硫磺矿提纯成的黄色结晶锭
冶炼,6,bar_5,硝酸盐锭,Nitrate Bar,较难,25,32x32,硝酸盐矿提纯成的白色晶体锭
冶炼,7,bar_6,铀锭,Uranium Bar,困难,40,32x32,放射性铀矿提炼的绿色发光金属锭
冶炼,8,bar_7,钛金锭,Titanium Bar,困难,60,32x32,钛矿提炼的银白色轻质高强度锭
冶炼,9,bar_8,钨钢锭,Tungsten Bar,极难,80,32x32,需要极高温度才能熔炼的深灰色超硬锭
冶炼,10,bar_9,铱金锭,Iridium Bar,噩梦,99,32x32,铱矿提炼的七彩光泽稀有贵金属锭

钓鱼,1,fish_0,辐射蝌蚪,Rad Tadpole,极简单,1,32x32,每片水洼都能捞到的变异小蝌蚪
钓鱼,2,fish_1,癞皮鱼,Scabfish,简单,4,32x32,浑身长满疤痕和肉瘤的丑鱼
钓鱼,3,fish_2,电鳗仔,Shock Eel,简单,7,32x32,能释放微弱电流的小型变异鳗鱼
钓鱼,4,fish_3,刺鳍鱼,Spinefin,中等,10,32x32,背鳍长满骨刺的攻击性中型鱼
钓鱼,5,fish_4,肿眼鲶,Bloat Catfish,中等,15,32x32,眼球肿大到几乎爆裂的变异鲶鱼
钓鱼,6,fish_5,荧光鳗,Glow Eel,较难,25,32x32,身体散发幽绿荧光的深海变异鳗
钓鱼,7,fish_6,铁甲鱼,Ironclad Fish,困难,40,32x32,鳞片硬如铁甲的巨大变异鱼
钓鱼,8,fish_7,双头鲨,Twinhead Shark,困难,60,32x32,长着两个头的变异鲨鱼
钓鱼,9,fish_8,深渊巨口,Abyssal Maw,极难,80,32x32,从辐射最深水域浮上来的巨口怪鱼
钓鱼,10,fish_9,核融鲸,Fusion Whale,噩梦,99,32x32,传说是核爆幸存者变异的巨鲸

狩猎,1,hide_0,鼠皮,Rat Hide,极简单,1,32x32,废土最常见的小型啮齿动物皮毛
狩猎,2,hide_1,兔皮,Rabbit Pelt,简单,4,32x32,变异长耳兔的柔软皮毛
狩猎,3,hide_2,蜥蜴鳞皮,Lizard Scalehide,简单,7,32x32,覆盖细小鳞片的爬行变异兽皮
狩猎,4,hide_3,犬皮,Dog Hide,中等,10,32x32,流浪变异犬的坚韧皮毛
狩猎,5,hide_4,野猪硬皮,Boar Toughhide,中等,15,32x32,变异野猪的厚实坚韧毛皮
狩猎,6,hide_5,变异鹿皮,Mutant Deerskin,较难,25,32x32,长着骨刺的变异鹿的柔软皮
狩猎,7,hide_6,熊皮,Bear Fur,困难,40,32x32,双头变异熊的厚重皮毛
